date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,macd_hist,macd_hist_prev,entry_price,entry_date
2018-03-22,USD000UTSTOM,BUY,35,57.0025,0.0,signal,55.75241428571428,58.87762857142857,0.69,2,0,53.01153493249438,56.891425000000005,56.797985999999995,0.18406384798684172,0.11765046292641876,up,0.6250428571428576,0.06641338506042296,0.11895576126359224,,
2018-04-09,USD000UTSTOM,SELL,35,58.175,41.03749999999998,stop_loss,58.54192857142857,58.87762857142857,1.0,0,2,71.98616600790507,57.54087500000001,57.08244199999999,0.39059382664050446,0.21767452319092967,,,0.1729193034495748,0.036137963498201864,57.0025,2018-03-22
2018-04-25,USD000UTSTOM,BUY,26,62.08,0.0,signal,58.80504285714286,66.9924357142857,0.72,2,0,66.08176555716355,60.343125,58.2765,1.1352607889879849,1.1309364928681875,up,1.6374785714285711,0.004324296119797344,0.014477246832834245,,
2018-05-07,USD000UTSTOM,SELL,26,61.56984285714286,-13.264085714285613,stop_loss,61.56984285714286,66.9924357142857,0.0,0,0,60.602310231023075,62.371,59.282402000000005,1.1145764595058338,1.1544349205125406,,,-0.03985846100670676,0.004187266581824112,62.08,2018-04-25
2018-05-23,USD000UTSTOM,BUY,32,61.7,0.0,signal,59.67217142857143,64.74174285714287,0.8500000000000001,1,0,32.75412684622067,62.420375,60.4793,0.27651062000204263,0.5307448763819251,up,1.0139142857142869,-0.2542342563798825,-0.26071679277852755,,
2018-06-18,USD000UTSTOM,SELL,32,63.4525,56.07999999999993,signal,62.039657142857145,64.74174285714287,1.0,0,2,70.716266730978,62.355405000000005,62.308562,0.32220770330017956,0.2385346448282526,,,0.08367305847192696,0.0521132181562321,61.7,2018-05-23
2018-06-22,USD000UTSTOM,BUY,32,62.895,0.0,signal,61.39814285714286,65.14028571428571,0.69,2,0,57.66436521022264,62.68564,62.384662,0.40507600167295976,0.34690816946069813,up,0.748428571428571,0.05816783221226163,0.12318392918368071,,
2018-06-26,USD000UTSTOM,SELL,32,63.0275,4.240000000000009,signal,61.541700000000006,65.14028571428571,0.77,0,1,63.69518702791877,62.730665,62.424712,0.32568892477833344,0.343437524807879,,,-0.017748600029545536,0.0038660214182689723,62.895,2018-06-22
2018-07-19,USD000UTSTOM,BUY,31,63.6625,0.0,signal,62.50714285714286,65.39553571428571,0.82,2,0,58.68613138686129,62.817499999999995,62.57241199999999,0.05018203494029194,0.019445971166746373,up,0.5776785714285714,0.03073606377354557,-0.04483063412565624,,
2018-07-30,USD000UTSTOM,SELL,31,62.50714285714286,-35.81607142857139,stop_loss,62.50714285714286,65.39553571428571,0.0,0,2,55.231650182196745,62.80675,62.709112000000005,0.014872535941478304,0.06589171562183724,,,-0.051019179680358934,-0.0019119850821001372,63.6625,2018-07-19
2018-08-24,USD000UTSTOM,BUY,29,67.1,0.0,signal,64.79178571428571,70.56232142857142,0.72,2,0,67.04718417047181,65.73462500000001,64.0851,1.1846870296874954,1.0906827260612981,up,1.1541071428571423,0.09400430362619727,0.1888428617647857,,
2018-09-06,USD000UTSTOM,SELL,29,69.255,62.49500000000003,signal,67.60071428571428,70.56232142857142,0.9,0,2,69.18103448275853,67.678875,64.95285,1.022995513392985,1.0420975299214883,,,-0.019102016528503407,-0.075014892233493,67.1,2018-08-24
2018-11-27,USD000UTSTOM,BUY,30,67.1075,0.0,signal,65.37892857142857,69.70035714285714,0.6699999999999999,2,0,55.2622786501838,66.44800000000001,66.15905,0.07843500872698428,0.040514185147673465,up,0.8642857142857129,0.037920823579310814,-0.013758016325460223,,
2018-12-21,USD000UTSTOM,SELL,30,68.84,51.97500000000005,signal,67.41678571428572,69.70035714285714,1.0,0,2,74.77236207820037,66.927125,66.4155,0.3936752701889077,0.17820984740772267,,,0.21546542278118502,0.14472102237543227,67.1075,2018-11-27
2019-01-14,USD000UTSTOM,BUY,30,67.075,0.0,signal,65.22142857142858,69.85535714285714,0.64,1,0,39.124609200535936,67.86775,67.0689,0.04942943852684323,0.3109312381541964,up,0.9267857142857139,-0.26150179962735315,-0.27184353527098826,,
2019-01-29,USD000UTSTOM,SELL,30,66.05,-30.75000000000017,signal,65.27964285714286,69.85535714285714,0.72,0,3,38.03786574870894,66.962625,66.96945,-0.38259657827700266,-0.2704065669938735,,,-0.11219001128312917,-0.13494390800429834,67.075,2019-01-14
2019-05-28,USD000UTSTOM,BUY,31,64.715,0.0,signal,63.893214285714286,65.94767857142857,0.79,1,0,38.88888888888899,64.836375,64.65405000000001,-0.05158516174482486,-0.022137472882314997,up,0.410892857142857,-0.029447688862509862,-0.0464907092687206,,
2019-06-11,USD000UTSTOM,SELL,31,64.59607142857143,-3.6867857142856337,stop_loss,64.59607142857143,65.94767857142857,0.0,0,2,52.65241488519403,64.829875,64.7672,0.03213579796806698,0.06640603238665319,,,-0.034270234418586204,-0.004050231098426393,64.715,2019-05-28
2019-08-28,USD000UTSTOM,BUY,30,66.8,0.0,signal,65.35785714285714,68.96321428571429,0.85,2,0,66.60359508041624,65.756,64.2111,0.6320588287139799,0.6139429996800955,up,0.7210714285714295,0.018115829033884423,-0.004166724567843394,,
2019-09-09,USD000UTSTOM,SELL,30,65.53285714285714,-38.014285714285734,stop_loss,65.53285714285714,68.96321428571429,0.64,1,0,36.69724770642205,66.2135,64.7501,0.33733084531655777,0.5134198428186955,,,-0.1760889975021377,-0.13347739304027395,66.8,2019-08-28
2020-02-11,USD000UTSTOM,BUY,31,63.3725,0.0,signal,61.83678571428572,65.67607142857143,0.6699999999999999,2,0,61.78736517719571,62.67712499999999,62.6501,0.39907944208365365,0.24937507493059213,up,0.7678571428571439,0.1497043671530615,0.2067571307037936,,
2020-02-25,USD000UTSTOM,SELL,31,65.385,62.38750000000009,signal,63.98214285714286,65.67607142857143,1.0,0,2,70.2127659574469,63.58037499999999,62.6441,0.49763964420123585,0.37670384461782536,,,0.1209357995834105,0.04119900853010455,63.3725,2020-02-11
2020-07-22,USD000UTSTOM,BUY,28,71.0575,0.0,signal,69.52575,73.355125,0.6699999999999999,2,0,54.809523809523895,70.822875,70.69165,0.2023633543924035,0.16184008282155898,up,0.7658750000000002,0.04052327157084451,0.06633638967425459,,
2020-07-30,USD000UTSTOM,SELL,28,73.355125,64.3334999999999,take_profit,71.74575,73.355125,1.0,0,2,72.81644091545994,71.503125,70.53805,0.5029798534715155,0.3158320208696779,,,0.18714783260183765,0.14235222239510037,71.0575,2020-07-22
2020-08-04,USD000UTSTOM,BUY,27,73.56,0.0,signal,71.77250000000001,76.24125000000001,0.72,2,0,65.37459283387616,71.82425,70.66945,0.7285617156655633,0.502876838777949,up,0.8937500000000002,0.2256848768876143,0.24018744060851072,,
2020-08-31,USD000UTSTOM,SELL,27,73.67678571428571,3.1532142857142134,stop_loss,73.67678571428571,76.24125000000001,0.0,0,0,57.111274871039086,73.83875,72.2466,0.6503443313203547,0.6806350325754542,,,-0.030290701255099473,0.028504065715371896,73.56,2020-08-04
2020-09-24,USD000UTSTOM,BUY,26,77.14,0.0,signal,75.54392857142858,79.53410714285714,0.87,2,0,67.72184743124029,75.403625,74.04735000000001,0.7116698056317148,0.6075946364243707,up,0.7980357142857112,0.10407516920734405,0.06345299569253438,,
2020-09-25,USD000UTSTOM,SELL,26,78.2075,27.75499999999988,signal,76.465,79.53410714285714,1.0,0,2,71.96935556557014,75.61337499999999,74.17405000000001,0.8409278864780134,0.6542612864350993,,,0.18666660004291413,0.10407516920734405,77.14,2020-09-24
2020-10-19,USD000UTSTOM,BUY,26,77.665,0.0,signal,75.86357142857143,80.36714285714287,0.64,1,0,39.18867202449301,77.704125,75.87180000000001,0.5200057977566956,0.6459750605396668,up,0.9007142857142847,-0.12596926278297116,-0.1229019618783238,,
