date,symbol,action,qty,price,pnl,reason,stop_price,take_price,confidence,buy_signals,sell_signals,rsi,ma_short,ma_long,macd,macd_signal,trend,atr,entry_price,entry_date
2024-08-29 00:00:00+00:00,GAZP,BUY,6,130.27,0.0,signal,121.72571428571429,143.0864285714286,0.6,3,0,52.42199108469543,126.6955,125.78880000000001,-0.8834634026298005,-0.929035751668378,up,4.272142857142859,,
2024-09-02 00:00:00+00:00,GAZP,SELL,6,121.72571428571429,-51.265714285714324,stop_loss,121.72571428571429,143.0864285714286,0.6,0,3,41.71042760690172,126.102,126.14399999999999,-1.066124191804505,-0.9729735141673337,,,130.27,2024-08-29 00:00:00+00:00
2024-10-02 00:00:00+00:00,GAZP,BUY,7,132.12,0.0,signal,122.36,146.76000000000002,0.6499999999999999,3,1,66.47727272727275,127.85350000000001,127.59440000000001,3.183760890239796,2.049603822382897,up,4.8800000000000034,,
2024-10-28 00:00:00+00:00,GAZP,SELL,7,130.78,-9.380000000000024,stop_loss,130.78,146.76000000000002,0.85,3,1,28.967136150234822,133.684,128.8582,0.5192585417368889,1.5366434368941064,,,132.12,2024-10-02 00:00:00+00:00
2025-01-16 00:00:00+00:00,GAZP,BUY,7,135.33,0.0,signal,126.82000000000001,148.09500000000003,0.6499999999999999,3,1,67.66917293233084,124.894,123.81480000000002,3.6407978679370814,2.4250214415143576,up,4.2550000000000034,,
2025-01-29 00:00:00+00:00,GAZP,SELL,7,137.05,12.039999999999992,signal,130.69571428571427,148.09500000000003,0.6499999999999999,1,3,71.66112956810636,133.5875,124.4718,3.8134920236293794,3.887450794861777,,,135.33,2025-01-16 00:00:00+00:00
2025-03-24 00:00:00+00:00,GAZP,BUY,6,164.56,0.0,signal,155.72,177.82,0.75,3,1,26.449071468767542,170.034,159.6996,1.558300597925836,3.1490289444923034,up,4.4199999999999955,,
2025-03-27 00:00:00+00:00,GAZP,SELL,6,155.72,-53.04000000000002,stop_loss,155.72,177.82,0.8999999999999999,4,1,19.129019129019113,168.56900000000002,161.09199999999998,-0.4342471951562743,1.7551155118800381,,,164.56,2025-03-24 00:00:00+00:00
2025-05-11 00:00:00+00:00,GAZP,BUY,6,145.88,0.0,signal,134.87,162.39499999999998,0.6,4,0,44.36674436674437,144.0505,143.671,0.021943168988798334,-0.11094768527126853,up,5.504999999999994,,
2025-05-16 00:00:00+00:00,GAZP,SELL,6,135.6757142857143,-61.22571428571422,stop_loss,135.6757142857143,162.39499999999998,0.0,1,1,35.98337230449468,144.3345,141.0384,-0.31128778798466783,0.01832532248552201,,,145.88,2025-05-11 00:00:00+00:00
2025-08-06 00:00:00+00:00,GAZP,BUY,6,130.11,0.0,signal,124.18000000000002,139.00500000000002,0.6,3,0,54.56892101187407,125.67,125.0038,0.2360928016569659,-0.10271309247022437,up,2.9649999999999994,,
2025-08-08 00:00:00+00:00,GAZP,SELL,6,133.55142857142857,20.64857142857136,stop_loss,133.55142857142857,139.00500000000002,0.0,2,2,70.23004059539922,127.2585,125.49879999999999,2.0094348789410077,0.48444054206422354,,,130.11,2025-08-06 00:00:00+00:00
2025-11-07 00:00:00+00:00,GAZP,BUY,7,120.45,0.0,signal,114.57000000000001,129.27,0.6,3,0,36.52636671504599,119.3095,118.88980000000001,-0.6148459158092123,-0.7656401897484123,up,2.94,,
2025-11-17 00:00:00+00:00,GAZP,SELL,7,117.46857142857144,-20.869999999999962,stop_loss,117.46857142857144,129.27,0.6,0,3,56.53638814016171,118.124,118.3268,-0.14147222023422046,-0.10821459841044315,,,120.45,2025-11-07 00:00:00+00:00
2025-11-18 00:00:00+00:00,GAZP,BUY,8,121.06,0.0,signal,116.66428571428573,127.65357142857142,0.7,4,0,60.766423357664245,118.41900000000001,118.39479999999999,0.05860402055631653,-0.07485087461709122,up,2.1978571428571416,,
2025-11-20 00:00:00+00:00,GAZP,SELL,8,127.65357142857142,52.74857142857138,take_profit,122.27857142857144,127.65357142857142,0.9999999999999999,2,3,75.24115755627011,119.38449999999997,118.6318,1.0780038155191676,0.2395715589502368,,,121.06,2025-11-18 00:00:00+00:00
2025-12-11 00:00:00+00:00,GAZP,BUY,6,130.3,0.0,signal,124.93428571428572,138.34857142857143,0.6,3,0,56.04838709677424,126.848,122.33120000000001,2.014855860923518,1.9210076659413857,up,2.682857142857143,,
2025-12-22 00:00:00+00:00,GAZP,SELL,6,125.4842857142857,-28.894285714285843,stop_loss,125.4842857142857,138.34857142857143,0.0,2,1,42.85714285714283,127.833,123.84200000000001,0.6982541822454778,1.3123560897640254,,,130.3,2025-12-11 00:00:00+00:00
